准确性权重,连续等待权重,不稳定权重,胜出方案,最小综合风险
0.04,0.32,0.6399999999999999,16/18,0.11889762309744967
0.04,0.33,0.6299999999999999,16/18,0.12071870388931696
0.04,0.34,0.6199999999999999,16/18,0.12253978468118429
0.04,0.35000000000000003,0.6099999999999999,16/18,0.1243608654730516
0.04,0.36,0.6,16/18,0.1261819462649189
0.04,0.37,0.59,16/18,0.1280030270567862
0.04,0.38,0.58,16/18,0.1298241078486535
0.04,0.39,0.57,16/18,0.13164518864052083
0.04,0.4,0.5599999999999999,16/18,0.13346626943238815
0.04,0.41000000000000003,0.5499999999999999,16/18,0.13528735022425545
0.04,0.42,0.54,16/18,0.13710843101612274
0.04,0.43,0.53,16/18,0.13892951180799007
0.04,0.44,0.52,16/18,0.14075059259985737
0.04,0.45,0.51,16/18,0.14257167339172466
0.04,0.46,0.49999999999999994,16/18,0.144392754183592
0.04,0.47000000000000003,0.48999999999999994,16/18,0.1462138349754593
0.04,0.48,0.48,16/18,0.1480349157673266
0.04,0.49,0.47,16/18,0.1498559965591939
0.04,0.5,0.45999999999999996,16/18,0.1516770773510612
0.04,0.51,0.44999999999999996,16/18,0.15349815814292853
0.04,0.52,0.43999999999999995,16/18,0.15531923893479585
0.04,0.53,0.42999999999999994,16/18,0.15714031972666315
0.04,0.54,0.41999999999999993,16/18,0.15896140051853047
0.04,0.55,0.4099999999999999,16/18,0.16078248131039777
0.04,0.56,0.3999999999999999,16/18,0.1626035621022651
0.04,0.5700000000000001,0.3899999999999999,16/18,0.16442464289413242
0.04,0.58,0.38,16/18,0.16624572368599966
0.04,0.59,0.37,16/18,0.16806680447786698
0.04,0.6,0.36,16/18,0.1698878852697343
0.04,0.61,0.35,16/18,0.1717089660616016
0.04,0.62,0.33999999999999997,16/18,0.17353004685346893
0.04,0.63,0.32999999999999996,16/18,0.17535112764533622
0.04,0.64,0.31999999999999995,15/18,0.1761284106845256
0.04,0.65,0.30999999999999994,15/18,0.17627431758661224
0.04,0.66,0.29999999999999993,15/18,0.17642022448869893
0.04,0.67,0.2899999999999999,15/18,0.17656613139078559
0.04,0.68,0.2799999999999999,15/18,0.1767120382928723
0.04,0.6900000000000001,0.2699999999999999,15/18,0.17685794519495898
0.04,0.7000000000000001,0.2599999999999999,15/18,0.17700385209704564
