repeat,target,metric,value
12,any,pr_auc,0.5330803474355965
12,any,roc_auc,0.8000416688369185
12,any,brier,0.08395827956461253
12,z3_T13,sensitivity,0.07142857142857142
12,z3_T13,specificity,0.9702276707530648
12,z3_T13,precision,0.10526315789473684
12,z3_T13,f2,0.07633587786259542
12,z3_T13,pr_auc,0.06682127362299542
12,z3_T13,roc_auc,0.5178258694020516
12,z3_T13,brier,
12,z3_T18,sensitivity,0.0
12,z3_T18,specificity,0.9441441441441442
12,z3_T18,precision,0.0
12,z3_T18,f2,0.0
12,z3_T18,pr_auc,0.08274920978527622
12,z3_T18,roc_auc,0.5445945945945947
12,z3_T18,brier,
12,z3_T21,sensitivity,0.0
12,z3_T21,specificity,0.9913644214162349
12,z3_T21,precision,0.0
12,z3_T21,f2,0.0
12,z3_T21,pr_auc,0.04460853081084594
12,z3_T21,roc_auc,0.5
12,z3_T21,brier,
13,T13,sensitivity,0.8235294117647058
13,T13,specificity,0.327212020033389
13,T13,precision,0.03357314148681055
13,T13,f2,0.14432989690721648
13,T13,pr_auc,0.05938924238082373
13,T13,roc_auc,0.6884022390258273
13,T13,brier,0.02815274576947195
13,T18,sensitivity,0.9230769230769231
13,T18,specificity,0.5164644714038128
13,T18,precision,0.11428571428571428
13,T18,f2,0.3821656050955414
13,T18,pr_auc,0.40441773676689896
13,T18,roc_auc,0.8267342132160156
13,T18,brier,0.05019606731864076
13,T21,sensitivity,0.9375
13,T21,specificity,0.31666666666666665
13,T21,precision,0.03529411764705882
13,T21,f2,0.15337423312883436
13,T21,pr_auc,0.02358237790751231
13,T21,roc_auc,0.43750000000000006
13,T21,brier,0.02538918384608885
13,any,sensitivity,0.8333333333333334
13,any,specificity,0.4262589928057554
13,any,precision,0.13550135501355012
13,any,f2,0.41050903119868637
13,any,pr_auc,0.32774793361486987
13,any,roc_auc,0.7438249400479615
13,any,brier,0.08133997916454697
13,z3_T13,sensitivity,0.058823529411764705
13,z3_T13,specificity,0.9799666110183639
13,z3_T13,precision,0.07692307692307693
13,z3_T13,f2,0.06172839506172839
13,z3_T13,pr_auc,0.04839258071914506
13,z3_T13,roc_auc,0.618383580477266
13,z3_T13,brier,
13,z3_T18,sensitivity,0.0
13,z3_T18,specificity,0.9445407279029463
13,z3_T18,precision,0.0
13,z3_T18,f2,0.0
13,z3_T18,pr_auc,0.06666634676450033
13,z3_T18,roc_auc,0.5272630315957872
13,z3_T18,brier,
13,z3_T21,sensitivity,0.0
13,z3_T21,specificity,0.995
13,z3_T21,precision,0.0
13,z3_T21,f2,0.0
13,z3_T21,pr_auc,0.02733448149554959
13,z3_T21,roc_auc,0.45177083333333334
13,z3_T21,brier,
14,T13,sensitivity,0.8636363636363636
14,T13,specificity,0.30350877192982456
14,T13,precision,0.04567307692307692
14,T13,f2,0.1884920634920635
14,T13,pr_auc,0.11313884298868034
14,T13,roc_auc,0.7370813397129188
14,T13,brier,0.03554804455714311
14,T18,sensitivity,0.8444444444444444
14,T18,specificity,0.5173674588665448
14,T18,precision,0.12582781456953643
14,T18,f2,0.3941908713692946
14,T18,pr_auc,0.30136642833686983
14,T18,roc_auc,0.751858622790981
14,T18,brier,0.06432151004287356
14,T21,sensitivity,0.625
14,T21,specificity,0.3184931506849315
14,T21,precision,0.01240694789081886
14,T21,f2,0.05747126436781609
14,T21,pr_auc,0.010440617500830758
14,T21,roc_auc,0.25577910958904104
14,T21,brier,0.013491061673332989
14,any,sensitivity,0.8225806451612904
14,any,specificity,0.40943396226415096
14,any,precision,0.1401098901098901
14,any,f2,0.4166666666666667
14,any,pr_auc,0.36507455021152196
14,any,roc_auc,0.7290626902008521
14,any,brier,0.08553146301920919
14,z3_T13,sensitivity,0.045454545454545456
14,z3_T13,specificity,0.9736842105263158
14,z3_T13,precision,0.0625
14,z3_T13,f2,0.04807692307692308
14,z3_T13,pr_auc,0.04366248791503359
14,z3_T13,roc_auc,0.42902711323763953
14,z3_T13,brier,
14,z3_T18,sensitivity,0.0
14,z3_T18,specificity,0.943327239488117
14,z3_T18,precision,0.0
14,z3_T18,f2,0.0
14,z3_T18,pr_auc,0.08531447713369267
14,z3_T18,roc_auc,0.5499898435913061
14,z3_T18,brier,
14,z3_T21,sensitivity,0.0
14,z3_T21,specificity,0.9948630136986302
14,z3_T21,precision,0.0
14,z3_T21,f2,0.0
14,z3_T21,pr_auc,0.018760628679277462
14,z3_T21,roc_auc,0.472388698630137
14,z3_T21,brier,
15,T13,sensitivity,0.84
15,T13,specificity,0.33747779751332146
15,T13,precision,0.0532994923857868
15,T13,f2,0.2125506072874494
15,T13,pr_auc,0.07669422726082603
15,T13,roc_auc,0.6416341030195383
15,T13,brier,0.0407556615518052
15,T18,sensitivity,1.0
15,T18,specificity,0.5027522935779817
15,T18,precision,0.13694267515923567
15,T18,f2,0.44238683127572015
15,T18,pr_auc,0.3286180887262135
15,T18,roc_auc,0.824109238318754
15,T18,brier,0.05988912554609079
15,T21,sensitivity,1.0
15,T21,specificity,0.2943201376936317
