outer_fold,label,feature,importance
2,T21,abs_Z21,0.017622163519263268
2,T21,GC偏离_21,0.014235631562769413
2,T21,最大绝对目标Z,0.029696471989154816
2,T21,目标Z极差,0.038490962237119675
2,T21,唯一读段占比,0.05063314363360405
2,T21,IVF_试管,0.0
2,any,年龄,0.05162591487169266
2,any,身高,0.026672258973121643
2,any,体重,0.035305727273225784
2,any,孕妇BMI,0.038159359246492386
2,any,孕周_周,0.03499353304505348
2,any,检测抽血次数,0.020210357382893562
2,any,原始读段数,0.018454959616065025
2,any,在参考基因组上比对的比例,0.017749732360243797
2,any,重复读段的比例,0.03658091649413109
2,any,唯一比对的读段数,0.02197401039302349
2,any,GC含量,0.028431769460439682
2,any,13号染色体的Z值,0.013114452362060547
2,any,18号染色体的Z值,0.021818645298480988
2,any,21号染色体的Z值,0.01358320564031601
2,any,X染色体的Z值,0.029515637084841728
2,any,X染色体浓度,0.08628024160861969
2,any,13号染色体的GC含量,0.0516597256064415
2,any,18号染色体的GC含量,0.04532497748732567
2,any,21号染色体的GC含量,0.042398884892463684
2,any,被过滤掉读段数的比例,0.022502347826957703
2,any,怀孕次数,0.0
2,any,生产次数,0.02231597900390625
2,any,BMI缺失,0.0
2,any,abs_Z13,0.0386575385928154
2,any,GC偏离_13,0.04856434836983681
2,any,abs_Z18,0.03814857080578804
2,any,GC偏离_18,0.05011722445487976
2,any,abs_Z21,0.02688034623861313
2,any,GC偏离_21,0.05051418021321297
2,any,最大绝对目标Z,0.020734932273626328
2,any,目标Z极差,0.022450311109423637
2,any,唯一读段占比,0.02525985613465309
2,any,IVF_试管,0.0
3,T13,年龄,0.03602706268429756
3,T13,身高,0.059447385370731354
3,T13,体重,0.03453802689909935
3,T13,孕妇BMI,0.03790505975484848
3,T13,孕周_周,0.02546149305999279
3,T13,检测抽血次数,0.019748453050851822
3,T13,原始读段数,0.00801460538059473
3,T13,在参考基因组上比对的比例,0.010553237050771713
3,T13,重复读段的比例,0.002146643353626132
3,T13,唯一比对的读段数,0.0
3,T13,GC含量,0.03493465483188629
3,T13,13号染色体的Z值,0.0194218922406435
3,T13,18号染色体的Z值,0.004644792061299086
3,T13,21号染色体的Z值,0.05995751917362213
3,T13,X染色体的Z值,0.01977415755391121
3,T13,X染色体浓度,0.056240059435367584
3,T13,13号染色体的GC含量,0.05837922543287277
3,T13,18号染色体的GC含量,0.03749389201402664
3,T13,21号染色体的GC含量,0.06948484480381012
3,T13,被过滤掉读段数的比例,0.025104336440563202
3,T13,怀孕次数,0.0
3,T13,生产次数,0.025919783860445023
3,T13,BMI缺失,0.0
3,T13,abs_Z13,0.0201994851231575
3,T13,GC偏离_13,0.04312203824520111
3,T13,abs_Z18,0.047872819006443024
3,T13,GC偏离_18,0.06736913323402405
3,T13,abs_Z21,0.029709696769714355
3,T13,GC偏离_21,0.04547009989619255
3,T13,最大绝对目标Z,0.025861330330371857
3,T13,目标Z极差,0.021462013944983482
3,T13,唯一读段占比,0.05373624712228775
3,T13,IVF_试管,0.0
3,T18,年龄,0.044960372149944305
3,T18,身高,0.04522410035133362
3,T18,体重,0.04336746409535408
3,T18,孕妇BMI,0.04086510092020035
3,T18,孕周_周,0.035730984061956406
3,T18,检测抽血次数,0.02227111905813217
