重复,胜出方案,两组平均孕周,三组平均孕周,三组减两组_平均孕周,两组最低审计达标概率,三组最低审计达标概率,三组减两组_最低审计概率
152,参数AFT两组,15.054574638844285,15.109149277688587,0.05457463884430247,0.8927481664086554,0.898173431940628,0.005425265531972645
153,参数AFT两组,15.064205457463869,15.080791867308704,0.016586409844835615,0.8915204110113828,0.8983099158374429,0.006789504826060111
154,参数AFT两组,15.215088282503993,15.241840556447281,0.02675227394328772,0.8927282082043981,0.8976566174010053,0.0049284091966071975
155,参数AFT两组,15.204387372926682,15.26912787586943,0.06474050294274747,0.8941795552325735,0.9008018027653701,0.00662224753279661
156,树AFT三组,14.97699304440876,14.936864633493832,-0.040128410914928025,0.8886900123158479,0.8988428306318117,0.010152818315963819
157,参数AFT两组,15.266987693953963,15.235955056179757,-0.031032637774206506,0.892486787802315,0.894067093237543,0.0015803054352279133
158,参数AFT两组,15.194221508828234,15.188336008560709,-0.005885500267524435,0.893595865762053,0.900754828992883,0.007158963230829984
159,参数AFT两组,15.160513643659694,15.162118780096293,0.001605136436598542,0.8913549257325152,0.8977443499636825,0.006389424231167284
160,参数AFT两组,15.497057249866216,15.462814339218816,-0.03424291064740004,0.892888456338487,0.9002543951823884,0.007365938843901354
161,树AFT三组,15.279293739967878,15.255751738897787,-0.023542001070090635,0.8865778327644291,0.8971265618429611,0.010548729078531993
162,参数AFT两组,15.356340288924537,15.37239165329051,0.016051364365972987,0.8901576109993141,0.9001400067969589,0.009982395797644816
163,树AFT三组,15.302835741037969,15.31567683253075,0.012841091492781231,0.8899586393467935,0.8985782581575492,0.00861961881075568
164,参数AFT两组,15.253611556982323,15.197966827180293,-0.0556447298020295,0.8910586382502329,0.899358520631408,0.008299882381175072
165,参数AFT两组,15.303370786516833,15.321562332798269,0.018191546281435933,0.8937551113147882,0.8978321913132664,0.0040770799984781725
166,树AFT三组,15.383092562867821,15.364365971107528,-0.018726591760293232,0.8850826607583204,0.89671935914173,0.011636698383409527
167,树AFT三组,15.026752273943266,15.089352594970556,0.06260032102728985,0.8872375126656438,0.8980147653571591,0.010777252691515304
