重复,方案,最低审计均值,最低审计保守下限,均值安全,保守下限安全,平均检测孕周
997,v2数据切点35.33,0.9448877319828121,0.9393706596655248,True,True,18.524344569288388
997,v2整数切点35_开发18_23,0.9448877319828121,0.9393706596655248,True,True,18.636704119850187
997,v2整数切点35_部署18_22,0.9448877319828121,0.9393706596655248,True,True,18.50936329588015
997,问题2_18_22,0.9448877319828121,0.9393706596655248,True,True,18.704119850187265
997,问题2_16_18,0.9139580597192566,0.906387079184602,True,True,16.352059925093634
998,v2数据切点35.33,0.9425855721136157,0.9357729321756777,True,True,18.730337078651687
998,v2整数切点35_开发18_23,0.9444817364223748,0.9374925790614106,True,True,18.786516853932586
998,v2整数切点35_部署18_22,0.9390074288268068,0.9323167979407396,True,True,18.629213483146067
998,问题2_18_22,0.950867400060418,0.9456613503485003,True,True,18.868913857677903
998,问题2_16_18,0.8993836082795545,0.891771847799777,True,False,16.43445692883895
999,v2数据切点35.33,0.9447455261614313,0.9377769833559481,True,True,18.767790262172284
999,v2整数切点35_开发18_23,0.9462504319367441,0.9393209387070857,True,True,18.805243445692884
999,v2整数切点35_部署18_22,0.9404717285589412,0.9336961842309689,True,True,18.644194756554306
999,问题2_18_22,0.9472083498044399,0.9421479231718428,True,True,18.89887640449438
999,问题2_16_18,0.9015935129482658,0.8934624380952227,True,False,16.44943820224719
1000,v2数据切点35.33,0.946934587983067,0.9425499626151684,True,True,18.617977528089888
1000,v2整数切点35_开发18_23,0.946934587983067,0.9425499626151684,True,True,18.674157303370787
1000,v2整数切点35_部署18_22,0.946934587983067,0.9416640293272268,True,True,18.53932584269663
1000,问题2_18_22,0.946934587983067,0.9425499626151684,True,True,18.65917602996255
1000,问题2_16_18,0.9116143053358147,0.9035403518607047,True,True,16.329588014981272
1001,v2数据切点35.33,0.9433057270241193,0.9372290738347852,True,True,18.711610486891384
1001,v2整数切点35_开发18_23,0.9442039659461752,0.9379556637004968,True,True,18.749063670411985
1001,v2整数切点35_部署18_22,0.9390427828840596,0.932748047881008,True,True,18.59925093632959
1001,问题2_18_22,0.9432165073793113,0.937399754152701,True,True,18.674157303370787
1001,问题2_16_18,0.8968393838356136,0.8881012105120041,True,False,16.337078651685392
1002,v2数据切点35.33,0.952472460334342,0.9469151266407191,True,True,18.56179775280899
1002,v2整数切点35_开发18_23,0.952542951408784,0.9477328682204696,True,True,18.580524344569287
1002,v2整数切点35_部署18_22,0.949274049818879,0.9438928170274975,True,True,18.46441947565543
1002,问题2_18_22,0.952542951408784,0.9482523726992066,True,True,18.584269662921347
1002,问题2_16_18,0.912585985929558,0.905082087930457,True,True,16.292134831460675
1003,v2数据切点35.33,0.9413604838422929,0.9351256309660501,True,True,18.692883895131086
1003,v2整数切点35_开发18_23,0.9432374009928574,0.9366253672596493,True,True,18.767790262172284
1003,v2整数切点35_部署18_22,0.9380822098623814,0.9315969730213263,True,True,18.61423220973783
1003,问题2_18_22,0.9485271325718838,0.9428208559426252,True,True,18.823970037453183
1003,问题2_16_18,0.8995033657073979,0.890988114461943,True,False,16.411985018726593
1004,v2数据切点35.33,0.9432662912973676,0.9371039491063758,True,True,18.580524344569287
1004,v2整数切点35_开发18_23,0.9458911542739115,0.9396981724685601,True,True,18.655430711610485
1004,v2整数切点35_部署18_22,0.9413133533605913,0.935136577768652,True,True,18.524344569288388
1004,问题2_18_22,0.9508783832519615,0.9457615288919621,True,True,18.719101123595507
1004,问题2_16_18,0.9060567674498711,0.8979590438503767,True,False,16.359550561797754
1005,v2数据切点35.33,0.9500863298909188,0.9442419566833595,True,True,18.674157303370787
1005,v2整数切点35_开发18_23,0.9534839780050932,0.9486005107345199,True,True,18.786516853932586
1005,v2整数切点35_部署18_22,0.9489599078374661,0.9433336301232494,True,True,18.629213483146067
1005,问题2_18_22,0.9534839780050932,0.9490535809455996,True,True,18.794007490636705
1005,问题2_16_18,0.9100715468994806,0.9021705465458391,True,True,16.39700374531835
1006,v2数据切点35.33,0.9440724135839424,0.9375731071186962,True,True,18.692883895131086
1006,v2整数切点35_开发18_23,0.9461486342005004,0.9395947205002877,True,True,18.749063670411985
1006,v2整数切点35_部署18_22,0.9408295513200311,0.9344314714881726,True,True,18.59925093632959
1006,问题2_18_22,0.9481696485902158,0.9428451978993551,True,True,18.734082397003746
1006,问题2_16_18,0.9004753652127716,0.8928344698147814,True,False,16.367041198501873
1007,v2数据切点35.33,0.949341445064901,0.9437760635300876,True,True,18.692883895131086
1007,v2整数切点35_开发18_23,0.951279752932568,0.9458376147911164,True,True,18.749063670411985
1007,v2整数切点35_部署18_22,0.9463818654361233,0.9408946215143225,True,True,18.59925093632959
1007,问题2_18_22,0.951279752932568,0.9470046563646269,True,True,18.764044943820224
1007,问题2_16_18,0.9075303409523365,0.8998119267582955,True,False,16.382022471910112
1008,v2数据切点35.33,0.9447371453942004,0.9381533970998112,True,True,18.655430711610485
1008,v2整数切点35_开发18_23,0.9454699905441246,0.9387385122991775,True,True,18.692883895131086
1008,v2整数切点35_部署18_22,0.9405031556128463,0.9338158394483631,True,True,18.55430711610487
1008,问题2_18_22,0.9493721293642396,0.9440975064213228,True,True,18.719101123595507
1008,问题2_16_18,0.9017362197869611,0.8930472776670086,True,False,16.359550561797754
1009,v2数据切点35.33,0.9428486720180937,0.9361879938902882,True,True,18.730337078651687
1009,v2整数切点35_开发18_23,0.9439507381528943,0.9372258829239987,True,True,18.767790262172284
1009,v2整数切点35_部署18_22,0.9386615355545112,0.9320609781843119,True,True,18.61423220973783
1009,问题2_18_22,0.9470985331715378,0.9417410628018272,True,True,18.764044943820224
1009,问题2_16_18,0.8983115085801405,0.8899630376560522,True,False,16.382022471910112
1010,v2数据切点35.33,0.9451205087957049,0.9396632040111539,True,True,18.823970037453183
1010,v2整数切点35_开发18_23,0.9462397448378609,0.9407194661016165,True,True,18.861423220973784
1010,v2整数切点35_部署18_22,0.9399020883253968,0.934400595090096,True,True,18.689138576779026
1010,问题2_18_22,0.9465532733106505,0.9417237172796328,True,True,18.823970037453183
1010,问题2_16_18,0.8961335991221946,0.8889025509201727,True,False,16.411985018726593
1011,v2数据切点35.33,0.9457523842128056,0.9397943918955177,True,True,18.730337078651687
1011,v2整数切点35_开发18_23,0.9476244337221555,0.9416445265189965,True,True,18.786516853932586
1011,v2整数切点35_部署18_22,0.9421338688054302,0.9362027987238479,True,True,18.629213483146067
1011,问题2_18_22,0.9485780107886506,0.9433775338240323,True,True,18.764044943820224
1011,问题2_16_18,0.900616376504558,0.8928052308044574,True,False,16.382022471910112
1012,v2数据切点35.33,0.93921940601024,0.931985877937519,True,True,18.48689138576779
1012,v2整数切点35_开发18_23,0.9406861181343754,0.9331922396006618,True,True,18.54307116104869
1012,v2整数切点35_部署18_22,0.9371891866178977,0.9299455986602048,True,True,18.43445692883895
1012,问题2_18_22,0.9495674670784536,0.9446474214591452,True,True,18.719101123595507
1012,问题2_16_18,0.9062844802128999,0.8984196377186312,True,False,16.359550561797754
1013,v2数据切点35.33,0.9445452905428677,0.9378208293906666,True,True,18.59925093632959
1013,v2整数切点35_开发18_23,0.9478229625538295,0.9411208975648542,True,True,18.692883895131086
1013,v2整数切点35_部署18_22,0.9436747727461605,0.9371542602751756,True,True,18.55430711610487
1013,问题2_18_22,0.9496275729498554,0.9446102157241366,True,True,18.734082397003746
1013,问题2_16_18,0.9091854507654974,0.901709099870848,True,True,16.367041198501873
1014,v2数据切点35.33,0.9484323201562402,0.9430540043623491,True,True,18.59925093632959
1014,v2整数切点35_开发18_23,0.9484323201562402,0.9430540043623491,True,True,18.617977528089888
1014,v2整数切点35_部署18_22,0.9478872108442595,0.9422960464491886,True,True,18.49438202247191
1014,问题2_18_22,0.9484323201562402,0.9430540043623491,True,True,18.674157303370787
1014,问题2_16_18,0.911693987837661,0.9035479225936958,True,True,16.337078651685392
1015,v2数据切点35.33,0.9406004256255651,0.9344312904557106,True,True,18.711610486891384
1015,v2整数切点35_开发18_23,0.9437958822842791,0.9374494079986017,True,True,18.805243445692884
1015,v2整数切点35_部署18_22,0.9382170267842435,0.9319928893424224,True,True,18.644194756554306
1015,问题2_18_22,0.9478690045708397,0.9425447105379006,True,True,18.83895131086142
1015,问题2_16_18,0.8972894827156346,0.8894352920986788,True,False,16.419475655430713
1016,v2数据切点35.33,0.9482231757554598,0.9420685834574167,True,True,18.580524344569287
1016,v2整数切点35_开发18_23,0.9514434683726579,0.9451354649289684,True,True,18.674157303370787
1016,v2整数切点35_部署18_22,0.9470617034310753,0.940846876659898,True,True,18.53932584269663
1016,问题2_18_22,0.9521726469901696,0.9480236126657816,True,True,18.794007490636705
1016,问题2_16_18,0.9137055912002167,0.9060412220280625,True,True,16.39700374531835
1017,v2数据切点35.33,0.9486761300313993,0.944426250039792,True,True,18.730337078651687
1017,v2整数切点35_开发18_23,0.9486761300313993,0.944426250039792,True,True,18.767790262172284
1017,v2整数切点35_部署18_22,0.9467457730931477,0.9407582772333681,True,True,18.61423220973783
1017,问题2_18_22,0.9486761300313993,0.944426250039792,True,True,18.83895131086142
1017,问题2_16_18,0.9094329235570219,0.9015927472653037,True,True,16.419475655430713
1018,v2数据切点35.33,0.9445785203541051,0.938011017435717,True,True,18.692883895131086
1018,v2整数切点35_开发18_23,0.947980311597252,0.9413081585698795,True,True,18.786516853932586
1018,v2整数切点35_部署18_22,0.9429094904302842,0.9363780697118443,True,True,18.629213483146067
1018,问题2_18_22,0.9488140506356206,0.9436723776810644,True,True,18.883895131086142
1018,问题2_16_18,0.9075971556374587,0.899884639230937,True,False,16.44194756554307
1019,v2数据切点35.33,0.9512828034195904,0.9458176967378813,True,True,18.805243445692884
1019,v2整数切点35_开发18_23,0.9523820711444767,0.9467065595279159,True,True,18.861423220973784
1019,v2整数切点35_部署18_22,0.9465017663120544,0.940816410211095,True,True,18.689138576779026
1019,问题2_18_22,0.951826836503363,0.9467781255725997,True,True,18.808988764044944
