重复,袋外人数,存在方案,胜出组数,胜出切点,胜出推荐孕周,胜出开发平均孕周,袋外平均检测孕周,袋外总体达标概率,袋外政策组最低均值,袋外政策组最低保守下限,袋外审计层最低均值,袋外审计层最低保守下限,袋外均值安全,袋外保守下限安全,袋外政策组人数,袋外审计层人数,袋外政策组均值,袋外政策组保守下限,袋外审计层均值,袋外审计层保守下限
464,100,True,2,34.226484,18|22,19.0187265917603,18.56,0.957286837514149,0.9556341895221,0.9401020348393716,0.9541485824822884,0.9401020348393716,True,True,86|14,30|31|25|14,0.957556|0.955634,0.954524|0.940102,0.960792|0.957172|0.954149|0.955634,0.955398|0.952442|0.948457|0.940102
465,101,True,2,35.647570,18|23,18.56179775280899,18.643564356435643,0.9543007817514364,0.9433615544697914,0.9323076845567859,0.9447032629724671,0.9354756783760698,True,True,88|13,21|28|19|33,0.955917|0.943362,0.952129|0.932308,0.962746|0.964847|0.944703|0.945504,0.956779|0.961634|0.935476|0.938110
466,93,True,2,36.157500,18|24,18.674157303370787,18.387096774193548,0.9502865970145475,0.9499681615377383,0.9402131043246525,0.9335970295406385,0.9214663706945835,True,True,87|6,19|22|28|24,0.949968|0.954904,0.945121|0.940213,0.956576|0.960089|0.952622|0.933597,0.949738|0.953275|0.945558|0.921466
467,103,True,2,35.676651,18|23,18.674157303370787,18.631067961165048,0.9520077170192929,0.9518818101369951,0.9443584588144728,0.9450850153661975,0.9359659491888132,True,True,90|13,24|32|23|24,0.951882|0.952879,0.947626|0.944358,0.960159|0.955768|0.945494|0.945085,0.953794|0.949960|0.936234|0.935966
468,96,True,1,,19,19.0,19.0,0.9585041547290917,0.9585041547290917,0.9537404380721106,0.9260173072616087,0.9138637891664736,True,True,96,29|23|21|23,0.958504,0.953740,0.970051|0.970953|0.964504|0.926017,0.965708|0.966783|0.957559|0.913864
469,100,True,2,35.817449,18|24,18.674157303370787,18.6,0.9513844835044258,0.9500902140516951,0.9456131674453567,0.9428611146979874,0.9330145962025314,True,True,90|10,30|24|24|22,0.950090|0.963033,0.945613|0.955537,0.956824|0.954452|0.942861|0.949919,0.951482|0.947738|0.933015|0.938657
470,96,True,1,,19,19.0,19.0,0.9557028668478867,0.9557028668478867,0.951193078807986,0.9340648745807276,0.9255951894721172,True,True,96,14|25|24|33,0.955703,0.951193,0.968768|0.969325|0.963644|0.934065,0.962570|0.964076|0.957435|0.925595
471,100,True,1,,19,19.0,19.0,0.9567434256165634,0.9567434256165634,0.952004442906414,0.9149119016665637,0.9015262423237275,True,True,100,24|33|24|19,0.956743,0.952004,0.971266|0.966363|0.962111|0.914912,0.967075|0.962153|0.956269|0.901526
472,95,True,2,35.258594,18|23,18.636704119850187,18.842105263157894,0.9530280640856872,0.9526183960157293,0.94736678998786,0.9448082353564301,0.9350922400370439,True,True,79|16,25|23|22|25,0.952618|0.955051,0.948133|0.947367,0.960683|0.960335|0.946031|0.944808,0.955337|0.954777|0.937431|0.935092
473,96,True,2,36.326687,18|24,18.674157303370787,18.25,0.9478591859519208,0.9477365073389371,0.9287000483644625,0.9295364460428214,0.9159713407383658,True,True,92|4,23|29|23|21,0.947737|0.950681,0.942728|0.928700,0.960233|0.955616|0.942435|0.929536,0.954209|0.949196|0.932335|0.915971
