重复,胜出组数,胜出切点,胜出推荐孕周,胜出平均孕周,胜出最低审计概率,存在安全方案,1组平均孕周,1组安全,2组平均孕周,2组安全,3组平均孕周,3组安全,4组平均孕周,4组安全
293,2,34.744810,14.571429|17.857143,15.100588550026735,0.8907980231327652,True,15.142857142857125,False,15.100588550026735,True,15.086677367576225,True,15.077046548956643,True
294,2,34.055530,14.428571|17.285714,15.241840556447281,0.8916093197159872,True,15.285714285714267,False,15.241840556447281,True,15.194221508828232,True,15.192616372391633,True
295,2,34.370576,14.285714|18.000000,15.036918138041715,0.8956250941104349,True,15.142857142857125,False,15.036918138041715,True,15.02889245585873,True,15.021936864633476,True
296,2,33.489547,14.428571|17.000000,15.131621187800945,0.8920562482534888,True,15.285714285714267,False,15.131621187800945,True,15.086677367576225,True,15.084002140181898,True
297,2,33.635468,14.428571|17.428571,15.215088282503995,0.8910040138352475,True,15.285714285714267,False,15.215088282503995,True,15.180310326377723,True,15.171214553237007,True
298,2,34.397104,14.428571|18.000000,15.217763509898324,0.8951384956270068,True,15.285714285714267,False,15.217763509898324,True,15.175494917067931,True,15.164794007490618,True
299,2,34.282406,14.428571|18.428571,15.372391653290514,0.8937317024139103,True,15.57142857142855,False,15.372391653290514,True,15.369181380417318,True,15.36490101658639,True
300,2,32.934148,14.142857|17.000000,15.063135366506136,0.8906738062555092,True,15.142857142857125,False,15.063135366506136,True,15.02889245585873,True,15.02407704654894,True
301,2,32.012425,14.142857|15.714286,14.8608881754949,0.8922652422653045,True,14.85714285714284,False,14.8608881754949,True,14.830925628678422,True,14.819154628143373,True
302,2,33.300511,14.285714|17.571429,15.220973782771518,0.8907150173711905,True,15.285714285714267,False,15.220973782771518,True,15.18673087212411,True,15.176565008025664,True
303,2,35.365688,14.571429|18.428571,15.019261637239147,0.8903474719959402,True,15.142857142857125,False,15.019261637239147,True,15.001605136436579,True,15.001605136436579,True
304,2,34.412473,14.285714|18.285714,15.10968432316745,0.8963365290111868,True,15.285714285714267,False,15.10968432316745,True,15.078651685393242,True,15.079186730872106,True
305,2,33.300511,14.285714|17.285714,15.12841091492775,0.8901873702481033,True,15.285714285714267,False,15.12841091492775,True,15.10219368646333,True,15.098448368111272,True
306,2,35.591373,14.571429|18.428571,15.091492776886017,0.8920053021929334,True,15.142857142857125,False,15.091492776886017,True,15.087212413055092,True,15.089352594970553,True
307,2,33.249658,14.428571|17.142857,15.252006420545728,0.8938961561892409,True,15.285714285714267,False,15.252006420545728,True,15.200107009095754,True,15.190476190476172,True
308,2,34.505326,14.571429|17.857143,15.063670411985001,0.8909529108211266,True,15.142857142857125,False,15.063670411985001,True,15.044408774745836,True,15.043873729266972,True
309,2,34.440085,14.285714|18.714286,15.148207597645783,0.8926628722496811,True,15.285714285714267,False,15.148207597645783,True,15.142857142857125,True,15.134296415195273,True
310,2,32.982974,14.285714|17.000000,15.170144462279275,0.894379686813303,True,15.285714285714267,False,15.170144462279275,True,15.143927233814857,True,15.139111824505065,True
311,2,34.440085,14.428571|18.571429,15.219903691813785,0.898176764453837,True,15.285714285714267,False,15.219903691813785,True,15.150347779561242,True,15.142857142857125,True
312,2,33.489547,14.571429|16.428571,15.107009095773122,0.8918730151672299,True,15.142857142857125,False,15.107009095773122,True,15.090422685928287,True,15.08132691278757,True
313,2,33.210559,14.285714|17.428571,15.227394328517905,0.892111753763945,True,15.285714285714267,False,15.227394328517905,True,15.195826645264829,True,15.19689673622256,True
314,2,34.721552,14.428571|18.285714,15.035313001605118,0.890846783191391,True,15.142857142857125,False,15.035313001605118,True,15.027822364900999,True,15.027822364900999,True
315,2,33.942385,14.285714|18.000000,15.217763509898324,0.8974850680212331,True,15.285714285714267,False,15.217763509898324,True,15.195291599785964,True,15.195291599785964,True
316,2,34.817975,14.571429|18.285714,15.183520599250919,0.8907844778379195,True,15.285714285714267,False,15.183520599250919,True,15.15462814339217,True,15.143927233814855,True
317,2,34.268071,14.428571|18.285714,15.252006420545728,0.8970383164725609,True,15.42857142857141,False,15.252006420545728,True,15.244515783841608,True,15.233814874264292,True
318,2,34.397104,14.285714|17.428571,14.921348314606725,0.892699476192843,True,14.999999999999982,False,14.921348314606725,True,14.912252541466007,True,14.912252541466007,True
319,2,35.647570,14.571429|19.428571,15.26270733012304,0.8902157281580498,True,15.42857142857141,False,15.26270733012304,True,15.224184055644711,True,15.219903691813785,True
320,2,34.315118,14.428571|18.142857,15.096308186195808,0.8931500452294265,True,15.285714285714267,False,15.096308186195808,True,15.096308186195808,True,15.096308186195808,True
321,2,34.440085,14.428571|18.285714,15.194221508828232,0.8904240783908723,True,15.285714285714267,False,15.194221508828232,True,15.177635098983396,True,15.170144462279275,True
322,2,34.440085,14.285714|18.428571,14.890850722311379,0.8946846481550348,True,14.999999999999982,False,14.890850722311379,True,14.873729266987677,True,14.871589085072214,True
323,2,32.944288,14.285714|16.714286,15.067950775815927,0.8956471538987971,True,15.142857142857125,False,15.067950775815927,True,15.04868913857676,True,15.048154093097894,True
324,2,35.689748,14.428571|19.428571,14.9903691813804,0.893270282937023,True,14.999999999999982,False,14.9903691813804,True,14.933119315141768,True,14.932584269662902,True
325,2,33.750674,14.142857|17.571429,14.977528089887624,0.8918733803312373,True,15.142857142857125,False,14.977528089887624,True,14.950775815944338,True,14.950775815944336,True
326,2,35.256474,14.571429|18.714286,15.25414660246119,0.89261506856814,True,15.42857142857141,False,15.25414660246119,True,15.238630283574086,True,15.229534510433368,True
327,2,34.147500,14.285714|17.142857,14.89566613162117,0.8967282749679073,True,14.999999999999982,False,14.89566613162117,True,14.865168539325825,True,14.865168539325825,True
328,2,34.221828,14.285714|17.857143,15.074906367041182,0.8913495871643945,True,15.142857142857125,False,15.074906367041182,True,15.059390048154073,True,15.052434456928822,True
329,2,33.850064,14.428571|17.857143,15.25040128410913,0.8944248272441709,True,15.42857142857141,False,15.25040128410913,True,15.23809523809522,True,15.229534510433368,True
330,2,34.297490,14.142857|17.857143,14.90797217763508,0.8961056336609288,True,14.999999999999982,False,14.90797217763508,True,14.9154628143392,True,14.91064740502941,True
331,2,34.226484,14.428571|16.857143,14.810593900481525,0.8920639516785879,True,14.85714285714284,False,14.810593900481525,True,14.785446762974837,True,14.782771535580506,True
332,2,34.474670,14.428571|17.857143,14.916532905296933,0.893265223550115,True,14.999999999999982,False,14.916532905296933,True,14.895131086142305,True,14.896736222578902,True
333,2,34.389793,14.285714|18.428571,15.06153023006954,0.8941718805217989,True,15.142857142857125,False,15.06153023006954,True,15.046013911182433,True,15.048154093097894,True
334,2,34.486110,14.714286|18.000000,15.194221508828232,0.8904350367652492,True,15.285714285714267,False,15.194221508828232,True,15.164794007490618,True,15.159978598180826,True
335,2,33.561093,14.285714|16.857143,14.988764044943803,0.892261464919516,True,14.999999999999982,False,14.988764044943803,True,14.955056179775262,True,14.951845906902069,True
336,2,34.004559,14.428571|18.142857,15.291064740502923,0.8925280740670296,True,15.42857142857141,False,15.291064740502923,True,15.27180310326376,True,15.268592830390563,True
337,2,34.720990,14.428571|18.428571,15.102728731942197,0.8926899941353693,True,15.142857142857125,False,15.102728731942197,True,15.07758159443551,True,15.073301230604583,True
338,2,33.249658,14.285714|17.428571,15.192081326912769,0.8939833145505707,True,15.285714285714267,False,15.192081326912769,True,15.175494917067933,True,15.163188871054022,True
339,2,34.646074,14.428571|17.714286,15.019261637239147,0.8903795969833819,True,15.142857142857125,False,15.019261637239147,True,15.00802568218297,True,15.004815409309774,True
340,2,33.300511,14.428571|17.000000,15.218298555377189,0.8951352395598171,True,15.285714285714267,False,15.218298555377189,True,15.172819689673604,True,15.166934189406081,True
341,2,34.474670,14.428571|17.714286,15.006955591225237,0.8945771609999358,True,15.142857142857125,False,15.006955591225237,True,14.981808453718546,True,14.980738362760817,True
342,2,34.397104,14.428571|18.428571,15.102728731942197,0.8951338669683747,True,15.285714285714267,False,15.102728731942197,True,15.095238095238077,True,15.085607276618493,True
343,2,32.934148,14.285714|16.857143,15.16211878009629,0.8941036858819797,True,15.285714285714267,False,15.16211878009629,True,15.099518459069003,True,15.096843231674676,True
344,2,33.489547,14.428571|17.285714,15.22043873729265,0.8918443861461758,True,15.285714285714267,False,15.22043873729265,True,15.180310326377722,True,15.175494917067933,True
345,2,34.212953,14.285714|18.285714,15.15462814339217,0.8914796995781029,True,15.285714285714267,False,15.15462814339217,True,15.147137506688049,True,15.148742643124647,True
346,2,35.116515,14.571429|18.571429,15.215623327982861,0.8933742297651067,True,15.285714285714267,False,15.215623327982861,True,15.199571963616888,True,15.200107009095753,True
347,2,33.232935,14.285714|16.857143,15.075441412520046,0.8932270550403921,True,15.142857142857125,False,15.075441412520046,True,15.04119850187264,True,15.035848047083984,True
348,2,34.721552,14.857143|18.142857,15.423220973782751,0.8912154218682304,True,15.57142857142855,False,15.423220973782751,True,15.382557517388957,True,15.375601926163705,True
349,2,34.004559,14.571429|17.857143,15.49438202247189,0.8971511264930484,True,15.57142857142855,False,15.49438202247189,True,15.468699839486339,True,15.459604066345618,True
350,2,34.206744,14.428571|17.857143,15.160513643659693,0.8978271189321015,True,15.285714285714267,False,15.160513643659693,True,15.159443552701962,True,15.151952915997843,True
351,2,34.646074,14.428571|18.000000,14.990369181380402,0.8949177399246047,True,15.142857142857125,False,14.990369181380402,True,14.963616907437116,True,14.963616907437116,True
352,2,33.753728,14.428571|17.714286,15.36383092562866,0.8938815861647641,True,15.42857142857141,False,15.36383092562866,True,15.280363830925609,True,15.273408239700357,True
353,2,34.474670,14.428571|17.571429,15.040663456393776,0.8928178188215201,True,15.142857142857125,False,15.040663456393776,True,15.039593365436044,True,15.034242910647386,True
354,2,33.293090,14.571429|16.428571,15.107009095773122,0.8917614131442971,True,15.142857142857125,False,15.107009095773122,True,15.038523274478313,True,15.031032637774194,True
355,2,35.054024,14.571429|18.857143,15.213483146067398,0.8935131363115104,True,15.285714285714267,False,15.213483146067398,True,15.2118780096308,True,15.207597645799874,True
356,2,34.315118,14.428571|18.142857,15.165864098448349,0.8926051608021633,True,15.285714285714267,False,15.165864098448349,True,15.166934189406081,True,15.159443552701962,True
357,2,34.440085,14.428571|18.142857,15.068485821294791,0.892012453484346,True,15.142857142857125,False,15.068485821294791,True,15.036918138041715,True,15.038523274478313,True
358,2,33.489547,14.285714|17.714286,15.300160513643641,0.892722691524965,True,15.42857142857141,False,15.300160513643641,True,15.23916532905295,True,15.232744783306563,True
359,2,36.236201,14.571429|18.857143,15.085072231139629,0.8910691842029184,True,15.142857142857125,False,15.085072231139629,True,15.079186730872106,True,15.066880684858193,True
360,2,34.147500,14.428571|18.142857,15.193686463349366,0.89667111293797,True,15.285714285714267,False,15.193686463349366,True,15.153023006955573,True,15.152487961476707,True
