outer_fold,低BMI周,高BMI周,测试人数,低BMI人数,高BMI人数,平均孕周,总体达标概率,最低审计概率,最低审计层,审计层1,审计层2,审计层3,审计层4,安全通过,审计切点
2,15,18,67,54,13,15.582089552238806,0.9190644714729069,0.9122745418383645,1,0.9122745418383645,0.9209634294313022,0.9277593624323195,0.9177658169564527,True,30.065446|31.721771|33.538981
3,15,18,66,47,19,15.863636363636363,0.8999850791269866,0.8670286279140509,3,0.9184164211862218,0.9150579128972033,0.8670286279140509,0.8922935852914224,False,30.129913|31.640625|33.516868
0,15,19,67,57,10,15.597014925373134,0.9196906886783573,0.9055746303554905,4,0.9337288930958274,0.9260672222193808,0.9115569167349297,0.9055746303554905,True,30.153098|31.686783|34.040136
1,15,19,67,57,10,15.597014925373134,0.9067999619989895,0.9000324660202936,3,0.9111728089253169,0.9052352124685775,0.9000324660202936,0.9135393669100166,True,30.127285|31.724831|33.994467
2,15,19,67,54,13,15.776119402985074,0.9216174234289982,0.9122745418383645,1,0.9122745418383645,0.9209634294313022,0.9277593624323195,0.9252026770024578,True,30.065446|31.721771|33.538981
3,15,19,66,47,19,16.151515151515152,0.9057142474801456,0.8670286279140509,3,0.9184164211862218,0.9150579128972033,0.8670286279140509,0.9087338075222269,False,30.129913|31.640625|33.516868
0,15,20,67,57,10,15.746268656716419,0.9219437309702151,0.9115569167349297,3,0.9337288930958274,0.9260672222193808,0.9115569167349297,0.91815411648503,True,30.153098|31.686783|34.040136
1,15,20,67,57,10,15.746268656716419,0.9086104501446094,0.9000324660202936,3,0.9111728089253169,0.9052352124685775,0.9000324660202936,0.922870344275904,True,30.127285|31.724831|33.994467
2,15,20,67,54,13,15.970149253731343,0.9238082130546689,0.9122745418383645,1,0.9122745418383645,0.9209634294313022,0.9277593624323195,0.9315845424337591,True,30.065446|31.721771|33.538981
3,15,20,66,47,19,16.439393939393938,0.9104677326583924,0.8670286279140509,3,0.9184164211862218,0.9150579128972033,0.8670286279140509,0.9223742432511098,False,30.129913|31.640625|33.516868
0,15,21,67,57,10,15.895522388059701,0.9238836479742526,0.9115569167349297,3,0.9337288930958274,0.9260672222193808,0.9115569167349297,0.9289853197575727,True,30.153098|31.686783|34.040136
1,15,21,67,57,10,15.895522388059701,0.9101494040390748,0.9000324660202936,3,0.9111728089253169,0.9052352124685775,0.9000324660202936,0.9308018758858416,True,30.127285|31.724831|33.994467
2,15,21,67,54,13,16.16417910447761,0.9256857165416877,0.9122745418383645,1,0.9122745418383645,0.9209634294313022,0.9277593624323195,0.9370537917220314,True,30.065446|31.721771|33.538981
3,15,21,66,47,19,16.727272727272727,0.9143753185043219,0.8670286279140509,3,0.9184164211862218,0.9150579128972033,0.8670286279140509,0.9335873156785592,False,30.129913|31.640625|33.516868
0,15,22,67,57,10,16.044776119402986,0.9255481996050442,0.9115569167349297,3,0.9337288930958274,0.9260672222193808,0.9115569167349297,0.938279066362826,True,30.153098|31.686783|34.040136
1,15,22,67,57,10,16.044776119402986,0.9114535275653868,0.9000324660202936,3,0.9111728089253169,0.9052352124685775,0.9000324660202936,0.9375231279060645,True,30.127285|31.724831|33.994467
2,15,22,67,54,13,16.35820895522388,0.9272927854653872,0.9122745418383645,1,0.9122745418383645,0.9209634294313022,0.9277593624323195,0.9417352533693301,True,30.065446|31.721771|33.538981
3,15,22,66,47,19,17.015151515151516,0.9175590489415885,0.8670286279140509,3,0.9184164211862218,0.9150579128972033,0.8670286279140509,0.9427232378028895,False,30.129913|31.640625|33.516868
0,15,23,67,57,10,16.19402985074627,0.9269718238849456,0.9115569167349297,3,0.9337288930958274,0.9260672222193808,0.9115569167349297,0.9462276352589418,True,30.153098|31.686783|34.040136
1,15,23,67,57,10,16.19402985074627,0.9125554145311439,0.9000324660202936,3,0.9111728089253169,0.9052352124685775,0.9000324660202936,0.9432020838065045,True,30.127285|31.724831|33.994467
2,15,23,67,54,13,16.55223880597015,0.928666837889609,0.9122745418383645,1,0.9122745418383645,0.9209634294313022,0.9277593624323195,0.945737927822498,True,30.065446|31.721771|33.538981
3,15,23,66,47,19,17.303030303030305,0.9201308145858664,0.8670286279140509,3,0.9184164211862218,0.9150579128972033,0.8670286279140509,0.9501030870429912,False,30.129913|31.640625|33.516868
0,15,24,67,57,10,16.34328358208955,0.9281856446623046,0.9115569167349297,3,0.9337288930958274,0.9260672222193808,0.9115569167349297,0.9530048012658624,True,30.153098|31.686783|34.040136
