重复,多因素减仅BMI_区间负对数评分
471,-0.011470025275855179
472,0.004244224305304226
473,-0.0017345983056377171
474,-0.006707384610891883
475,-0.006614503753431231
476,0.01761191988750267
477,0.013760931222765541
478,-0.011888304233654189
479,0.007496475163524267
480,0.012038396176780163
481,-0.0032406675818145527
482,0.01822295814633004
483,0.002560644650142121
484,0.0033001336187501186
485,-0.00723606195276922
486,0.003995327124397243
487,-0.0022081251720121446
488,-0.00013510728396290905
489,-0.004363005909734768
490,0.00789062739031377
491,-0.00795567644168908
492,0.0013835802020860904
493,-0.02049402848152001
494,0.005680105483400087
495,0.01665705313577472
496,-0.004889226575560249
497,-0.01412444272366135
498,0.0030410988436418607
499,-0.001659974734468231
500,-0.004239205549056194
501,0.02733867497291393
502,0.009917357993846843
503,-0.005961571338686402
504,0.01681260234960027
505,0.008135016280185245
506,0.007277427173039728
507,-0.0020369118508656776
508,0.0060082815577808145
509,-0.007854912955191435
510,-0.012259539568583543
511,0.0005829303718083584
512,0.0072418267345251966
513,0.0007973539044339306
514,-0.010917781308863558
515,-0.0019304767054509793
516,0.009687120781013662
517,-0.000214937648887961
518,0.012434271341897639
519,-0.013785542280697612
520,-0.008151004729862622
521,-0.009847276725426287
522,0.0023518512993653527
523,0.00824079175831421
524,0.004533596152714536
525,0.008603115893760761
526,0.0007475293658878437
527,0.006809989182491611
528,0.02482623450695711
529,0.012270299951210413
530,0.01794982566253614
531,0.012151962324518614
532,0.015103155428255414
533,-0.0035998207445874383
534,0.002805487668692964
535,-0.011891723068421966
536,0.0047177134475691
537,-0.023989678450034975
538,0.00037250608735727196
539,0.03149131363883946
540,-0.001589970465201554
541,-0.006228441338007675
542,0.011125118855812764
543,0.010451454757451994
544,-0.002708072058862601
545,-0.00225967265663944
546,0.004424190852126583
547,0.001953949484012748
548,-0.007613984698018926
549,-0.015391299258540703
550,0.012975836490003594
551,0.00894403296984798
552,-0.0009161745520431192
553,-0.009942040543501856
554,0.0019723876550052873
555,-0.006163962686458668
556,-0.01472480495506961
557,-0.00495027212612016
558,0.0026950732138807994
559,0.007405715817818246
560,0.0119255616108464
561,0.005798382893599225
562,0.011172100560296867
563,-0.015338283567597739
564,0.009843707558151407
565,0.013250825608207178
566,0.011817862538424439
567,-0.01784618070436647
568,-0.02147204609782118
569,0.01917127381627726
570,0.002184232961808722
571,0.01211306776872228
572,-0.008314383797673484
573,-0.021283637823489337
574,-0.007158370328452141
575,0.014107655519458508
576,0.008660798785998293
577,-0.0026385441739926675
578,0.005580198841680987
579,0.007721141568925673
580,0.012642834149073768
581,-0.0021169215726443936
582,-0.00797022838185499
583,0.030185064115506952
584,-0.0111318381520194
585,0.014997408155447816
